Soil No;%;%;%;;;%;mm;;`%;g/cm3;g/cm3;cm/hr;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;%;mm;mm;dS/m;;%;%;Cmole/kg;;mm;;%;;;;mm/h;%;;Yes/no;Yes/no;
Code;Clay;Silt;Sand;Texture Class;TextureCode;Gravel;dg;Sg;OC;Db;Dp;Ksat;WC_s;WC_i;FC;PWP;WC_r;WAS;MWD;GMD;EC;pH;Gypsum;CCE;CEC;SAR;DiscRedius;Instrument;Vegetation cover;Landuse (reported by data owners);Landuse (classifed);Landuse_Code;Rainfal intensity;Slope;Treatment;Crust;Sand contact layer;
29;13,810;27,488;58,702;SANDY LOAM;3;;0,143;12,744;0,488;1,402;2,551;5,028;0,438;0,119;;;;62,500;;;0,400;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
30;16,448;24,756;58,796;SANDY LOAM;3;;0,132;14,214;0,488;1,348;2,525;7,904;0,470;0,116;;;;60,759;;;0,400;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
31;18,533;25,352;56,115;SANDY LOAM;3;;0,112;15,234;0,640;1,367;2,604;7,950;0,522;0,117;;;;48,624;;;0,400;;;;;;;4;;Bare soil;Bare;6;;;;;;
32;16,467;26,504;57,029;SANDY LOAM;3;;0,124;14,140;0,592;1,413;2,618;5,908;0,534;0,117;;;;51,190;;;1,200;;;;;;;4;;Bare soil;Bare;6;;;;;;
33;17,375;25,909;56,716;SANDY LOAM;3;;0,119;14,627;0,762;1,389;2,591;7,829;0,553;0,116;;;;50,000;;;0,700;;;;;;;4;;Bare soil;Bare;6;;;;;;
34;16,237;29,374;54,389;SANDY LOAM;3;;0,113;13,849;0,975;1,400;2,538;5,396;0,469;0,119;;;;46,696;;;0,300;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
35;18,154;26,889;54,957;SANDY LOAM;3;;0,108;14,929;0,761;1,322;2,551;8,307;0,509;0,116;;;;45,339;;;0,600;;;;;;;4;;Bare soil;Bare;6;;;;;;
36;15,863;28,698;55,439;SANDY LOAM;3;;0,119;13,718;0,878;1,379;2,538;6,073;0,509;0,118;;;;44,934;;;0,700;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
37;9,192;27,567;63,241;SANDY LOAM;3;;0,197;10,250;0,939;1,313;2,381;7,414;0,510;0,123;;;;92,271;;;0,900;;;;;;;4;;Bare soil;Bare;6;;;;;;
38;11,643;24,997;63,360;SANDY LOAM;3;;0,183;11,565;0,759;1,383;2,392;5,269;0,492;0,124;;;;95,918;;;0,600;;;;;;;4;;Bare soil;Bare;6;;;;;;
39;9,143;27,764;63,093;SANDY LOAM;3;;0,196;10,229;0,916;1,309;2,404;7,489;0,498;0,121;;;;92,513;;;0,400;;;;;;;4;;Bare soil;Bare;6;;;;;;
40;17,972;11,820;70,207;SANDY LOAM;3;;0,191;15,212;1,039;1,368;2,392;8,131;0,544;0,121;;;;78,808;;;1,200;;;;;;;4;;Bare soil;Bare;6;;;;;;
41;16,023;13,439;70,539;SANDY LOAM;3;;0,206;13,935;1,268;1,362;2,392;8,969;0,524;0,117;;;;78,571;;;0,400;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
42;15,104;14,262;70,634;SANDY LOAM;3;;0,213;13,350;0,730;1,343;2,381;9,677;0,564;0,116;;;;77,740;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
43;16,903;24,866;58,231;SANDY LOAM;3;;0,127;14,447;0,683;1,377;2,538;5,404;0,434;0,121;;;;31,092;;;0,800;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
44;16,101;25,250;58,649;SANDY LOAM;3;;0,133;14,012;0,602;1,375;2,551;5,795;0,464;0,119;;;;33,725;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
45;18,154;23,967;57,879;SANDY LOAM;3;;0,121;15,141;0,871;1,393;2,538;4,578;0,461;0,121;;;;33,878;;;0,800;;;;;;;4;;Bare soil;Bare;6;;;;;;
46;9,939;32,213;57,848;SANDY LOAM;3;;0,158;10,702;1,365;1,260;2,404;18,390;0,515;0,102;;;;78,322;;;1,100;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
47;9,290;32,830;57,879;SANDY LOAM;3;;0,161;10,376;1,365;1,352;2,415;13,450;0,515;0,106;;;;77,707;;;0,900;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
48;11,050;31,059;57,891;SANDY LOAM;3;;0,152;11,268;0,685;1,294;2,427;16,325;0,560;0,104;;;;77,654;;;0,800;;;;;;;4;;Bare soil;Bare;6;;;;;;
49;19,171;25,448;55,381;SANDY LOAM;3;;0,107;15,531;0,975;1,410;2,475;5,758;0,466;0,125;;;;52,222;;;0,600;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
50;16,787;27,989;55,225;SANDY LOAM;3;;0,114;14,203;0,632;1,396;2,488;6,191;0,499;0,123;;;;49,162;;;0,900;;;;;;;4;;Bare soil;Bare;6;;;;;;
51;18,475;26,311;55,214;SANDY LOAM;3;;0,108;15,128;0,824;1,379;2,463;7,088;0,519;0,121;;;;50,785;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
52;17,741;28,616;53,643;SANDY LOAM;3;;0,105;14,592;0,293;1,264;2,591;7,724;0,512;0,117;;;;39,496;;;0,500;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
53;18,967;29,075;51,959;LOAM;6;;0,095;15,076;0,581;1,384;2,591;1,601;0,509;0,124;;;;41,544;;;0,300;;;;;;;4;;Bare soil;Bare;6;;;;;;
54;20,652;26,282;53,066;SANDY CLAY LOAM;4;;0,093;16,112;0,293;1,401;2,604;1,597;0,468;0,126;;;;42,599;;;0,600;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
55;14,814;24,488;60,698;SANDY LOAM;3;;0,149;13,343;0,703;1,361;2,564;7,118;0,502;0,116;;;;72,300;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
56;16,860;22,384;60,757;SANDY LOAM;3;;0,140;14,523;0,749;1,400;2,577;5,727;0,477;0,116;;;;70,356;;;0,900;;;;;;;4;;Bare soil;Bare;6;;;;;;
57;17,510;21,844;60,646;SANDY LOAM;3;;0,136;14,902;0,879;1,377;2,551;7,159;0,537;0,114;;;;71,245;;;0,700;;;;;;;4;;Bare soil;Bare;6;;;;;;
58;13,158;42,943;43,899;LOAM;6;;0,085;11,396;0,195;1,304;2,632;1,363;0,450;0,127;;;;66,514;;;0,900;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
59;14,154;40,663;45,184;LOAM;6;;0,086;11,976;0,195;1,301;2,632;1,495;0,478;0,127;;;;66,364;;;1,000;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
60;12,855;41,271;45,874;LOAM;6;;0,092;11,472;0,098;1,297;2,646;1,728;0,462;0,125;;;;64,590;;;0,400;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
61;9,625;33,883;56,491;SANDY LOAM;3;;0,151;10,533;0,585;1,348;2,525;4,743;0,495;0,134;;;;90,556;;;0,500;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
62;12,805;31,977;55,218;SANDY LOAM;3;;0,130;12,101;0,683;1,334;2,538;5,335;0,441;0,127;;;;85,279;;;0,600;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
63;18,167;28,873;52,960;SANDY LOAM;3;;0,101;14,756;0,810;1,384;2,513;4,633;0,445;0,129;;;;93,069;;;0,800;;;;;;;4;;Bare soil;Bare;6;;;;;;
64;7,358;18,966;73,676;SANDY LOAM;3;;0,307;8,620;0,195;1,296;2,577;4,225;0,477;0,119;;;;68,421;;;0,700;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
65;9,303;17,481;73,216;SANDY LOAM;3;;0,283;9,724;0,716;1,289;2,591;4,913;0,517;0,118;;;;70,000;;;0,500;;;;;;;4;;Bare soil;Bare;6;;;;;;
66;9,948;16,306;73,746;SANDY LOAM;3;;0,282;10,042;0,744;1,234;2,564;5,442;0,485;0,118;;;;68,376;;;0,500;;;;;;;4;;Bare soil;Bare;6;;;;;;
67;9,002;27,555;63,443;SANDY LOAM;3;;0,200;10,145;0,992;1,321;2,427;9,362;0,522;0,119;;;;79,293;;;0,400;;;;;;;4;;Bare soil;Bare;6;;;;;;
68;8,473;28,679;62,849;SANDY LOAM;3;;0,199;9,889;0,947;1,368;2,439;7,752;0,532;0,121;;;;81,122;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
69;10,288;26,819;62,893;SANDY LOAM;3;;0,188;10,840;0,846;1,324;2,415;10,572;0,527;0,118;;;;81,863;;;1,100;;;;;;;4;;Bare soil;Bare;6;;;;;;
70;22,723;26,767;50,509;SANDY CLAY LOAM;4;;0,079;16,880;0,488;1,342;2,538;1,669;0,466;0,122;;;;25,161;;;0,800;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
71;25,713;25,150;49,137;SANDY CLAY LOAM;4;;0,068;18,227;0,488;1,348;2,551;1,500;0,455;0,123;;;;26,570;;;0,500;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
72;23,612;26,035;50,353;SANDY CLAY LOAM;4;;0,077;17,330;0,488;1,332;2,564;1,748;0,482;0,123;;;;25,140;;;0,500;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
73;17,479;24,232;58,289;SANDY LOAM;3;;0,125;14,778;0,911;1,400;2,370;16,079;0,512;0,111;;;;81,467;;;0,500;;;;;;;4;;Bare soil;Bare;6;;;;;;
74;18,260;23,872;57,868;SANDY LOAM;3;;0,120;15,202;0,975;1,417;2,381;15,976;0,558;0,108;;;;82,114;;;0,400;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
75;17,359;24,066;58,575;SANDY LOAM;3;;0,127;14,724;0,987;1,360;2,392;17,758;0,558;0,105;;;;83,913;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
76;22,545;40,503;36,953;LOAM;6;;0,048;14,077;0,878;1,449;2,551;2,566;0,499;0,139;;;;84,026;;;1,100;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
77;10,031;29,696;60,273;SANDY LOAM;3;;0,172;10,746;0,683;1,353;2,564;9,286;0,471;0,126;;;;85,714;;;1,100;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
78;19,212;27,805;52,983;SANDY LOAM;3;;0,097;15,319;0,878;1,341;2,538;9,433;0,493;0,124;;;;88,764;;;1,000;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
79;21,074;22,008;56,918;SANDY CLAY LOAM;4;;0,106;16,764;1,560;1,396;2,304;1,267;0,461;0,127;;;;82,353;;;0,800;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
80;19,114;23,212;57,673;SANDY LOAM;3;;0,116;15,682;1,463;1,377;2,315;1,386;0,480;0,128;;;;81,116;;;0,300;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
81;19,928;21,897;58,175;SANDY LOAM;3;;0,115;16,195;1,560;1,269;2,326;8,598;0,515;0,119;;;;81,496;;;0,800;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
82;23,696;33,401;42,903;LOAM;6;;0,058;15,923;1,755;1,351;2,262;3,190;0,437;0,126;;;;62,201;;;0,700;;;;;;;4;;Dryland Farmin;Agriculture;1;;;;;;
83;24,391;33,162;42,447;LOAM;6;;0,056;16,137;1,658;1,367;2,273;2,290;0,461;0,128;;;;63,158;;;0,700;;;;;;;4;;Irrigated Farmin;Agriculture;1;;;;;;
84;22,976;34,800;42,225;LOAM;6;;0,058;15,451;1,050;1,366;2,262;2,860;0,472;0,127;;;;61,836;;;1,000;;;;;;;4;;Bare soil;Bare;6;;;;;;
