Code;S (cm/h^0.5);Ks (cm/hr);A (cm/hr^1.5 for 1D and cm/hr for 3D);R2;RMSE (cm);Included = 1, Excluded = 0;1D = 1, 3D =3
4377;5,7E+00;1,2E+01;6,2E+00;0,996;0,027;1;3
4378;4,0E-07;4,3E+00;2,7E+01;0,976;0,120;1;3
4379;7,1E-01;3,0E+00;5,3E+00;0,995;0,061;1;3
4380;2,0E-05;1,5E+01;3,1E+01;0,984;0,148;1;3
4381;1,2E+00;1,4E+01;3,8E+00;0,921;0,160;1;3
4382;2,2E-07;6,4E+00;1,3E+01;0,903;0,308;1;3
4383;3,9E-11;9,4E+00;1,0E+01;0,941;0,310;1;3
4384;1,2E+00;8,8E-01;9,0E-01;0,996;0,036;1;3
4385;1,7E-07;3,8E+00;1,2E+00;0,956;0,268;1;3
4386;9,8E-13;2,7E+01;5,0E+01;0,959;0,482;1;3
4387;1,7E-07;8,5E+00;1,7E+01;0,949;0,219;1;3
4388;2,7E-01;3,6E-04;7,9E+00;0,986;0,174;1;3
4389;1,9E-12;3,5E+00;6,4E+00;0,965;0,208;1;3
4390;4,4E-09;9,8E+00;2,0E+01;0,968;0,129;1;3
4391;6,9E-07;2,9E+00;5,0E+00;0,984;0,134;1;3
4392;3,2E-14;5,9E+00;5,5E+00;0,968;0,172;1;3
4393;8,5E-01;6,4E+01;2,2E+01;0,992;0,180;1;3
4394;3,4E-14;4,0E+00;1,8E+00;0,943;0,193;1;3
4395;1,0E-10;8,0E-01;9,7E-01;0,937;0,316;1;3
4396;1,9E-12;2,8E+00;4,9E+00;0,855;0,344;1;3
4397;3,5E-11;6,7E+00;1,3E+01;0,930;0,419;1;3
4398;1,2E-07;6,2E+00;1,2E+01;0,999;0,046;1;3
4399;3,4E-06;1,1E+00;1,3E+00;0,993;0,086;1;3
4400;3,5E-01;7,7E-01;8,5E-01;0,998;0,070;1;3
4401;1,7E-09;6,2E+00;6,9E+00;0,743;0,499;1;3
4402;2,7E-08;3,4E+00;2,4E+00;0,874;0,367;1;3
4403;6,7E-06;4,8E+00;6,0E+00;0,840;0,259;1;3
4404;1,4E-06;5,0E+00;2,5E-02;0,842;0,323;1;3
4405;1,3E-10;1,1E+01;2,1E+01;0,900;0,242;1;3
4406;3,5E-10;6,2E+00;1,2E+01;0,947;0,169;1;3
4407;4,1E-10;5,8E+00;5,4E+00;0,980;0,160;1;3
4408;4,6E-06;3,2E+00;4,2E+00;0,997;0,070;1;3
4409;2,1E+00;1,2E+00;1,4E+00;0,906;0,156;1;3
4410;1,1E+00;9,3E+00;1,9E+01;0,999;0,072;1;3
4411;1,5E+00;5,8E+00;1,0E+01;0,999;0,068;1;3
4412;2,0E+00;3,3E-04;1,0E+01;0,997;0,024;1;3
4413;5,5E-12;2,6E+01;5,0E+01;0,962;0,285;1;3
4414;1,1E-05;6,3E+00;1,2E+01;0,997;0,075;1;3
4415;8,8E-01;1,1E+00;1,3E+00;0,964;0,094;1;3
4416;4,0E+00;8,2E-01;1,1E+00;0,949;0,133;1;3
4417;6,5E-09;8,3E+00;7,9E+00;0,995;0,082;1;3
4418;4,8E-02;1,8E-02;2,9E+01;0,998;0,162;1;3
4419;3,5E-06;7,4E+00;1,5E+01;0,990;0,089;1;3
4420;1,7E+00;1,1E+00;1,2E+00;0,954;0,071;1;3
4421;2,7E+00;2,6E+00;4,5E+00;0,999;0,029;1;3
4422;6,1E-01;9,8E+00;2,0E+01;0,999;0,058;1;3
4423;3,4E+00;6,8E+00;5,5E+01;1,000;0,001;1;3
4424;4,6E+00;7,3E+00;1,4E+01;0,998;0,042;1;3
4425;4,1E+00;1,3E+01;7,1E+00;0,898;0,174;1;3
4426;3,9E-08;3,7E+01;6,7E+01;0,983;0,177;1;3
4427;1,1E-04;3,5E+01;6,7E+01;0,997;0,139;1;3
4428;3,1E+00;5,6E+00;1,1E+01;0,895;0,166;1;3
4429;2,7E+00;1,6E+02;9,0E+01;1,000;0,181;1;3
4430;2,5E+00;7,8E+00;7,8E+01;0,998;0,148;1;3
4431;2,3E+00;1,5E+01;2,6E+01;1,000;0,250;1;3
4432;2,2E+00;1,2E+00;1,4E+00;0,970;0,079;1;3
4433;2,6E+00;3,7E+00;6,7E+00;0,993;0,050;1;3
4434;5,3E+00;4,0E+00;2,0E+00;0,999;0,027;1;3
4435;2,3E+00;2,0E+00;3,2E+00;0,965;0,085;1;3
4436;6,3E+00;1,0E+00;1,1E+00;1,000;0,007;1;3
4437;2,8E+00;7,1E+00;1,4E+01;0,992;0,062;1;3
4438;6,1E+00;2,2E+01;4,2E+01;0,998;0,043;1;3
4439;4,8E+00;6,6E+00;1,3E+01;1,000;0,035;1;3
4440;4,9E+00;3,3E+00;5,9E+00;1,000;0,020;1;3
4441;4,9E+00;3,6E+00;6,5E+00;1,000;0,022;1;3
4442;9,0E+00;1,6E+01;3,2E+01;1,000;0,052;1;3
4443;1,4E+01;3,3E-06;4,9E-06;0,996;0,048;1;3
4444;7,3E+00;8,3E+00;1,7E+01;1,000;0,026;1;3
4445;8,1E-01;4,5E+01;9,2E+01;1,000;0,092;1;3
4446;2,0E+00;7,0E+00;5,6E+01;0,996;0,102;1;3
4447;3,4E+00;1,3E+01;3,0E+01;0,972;0,130;1;3
4448;9,2E+00;7,9E+00;1,6E+01;1,000;0,017;1;3
4449;1,9E-05;1,8E+01;3,8E+01;0,999;0,079;1;3
4450;3,4E+00;5,9E+00;1,1E+01;0,995;0,046;1;3
4451;2,1E+00;3,7E+00;2,2E+00;0,839;0,331;1;3
4452;1,3E+00;5,4E+00;5,6E+00;0,980;0,079;1;3
4453;3,3E-13;2,2E+01;2,9E-03;0,981;0,092;1;3
4454;2,9E-01;8,8E-09;5,6E+00;0,994;0,132;1;3
4455;2,0E-09;7,2E+00;8,5E+00;0,979;0,252;1;3
4456;1,9E-10;5,9E+00;1,1E+01;0,989;0,110;1;3
4457;1,8E+00;1,5E+00;2,0E+00;0,933;0,115;1;3
4458;1,5E+00;5,1E+00;8,7E+00;0,999;0,092;1;3
4459;6,3E-07;4,5E+00;2,7E+00;0,998;0,196;1;3
4460;1,1E+00;5,4E+00;2,2E+00;0,999;0,021;1;3
4461;6,3E-06;7,5E-01;9,6E-01;0,997;0,059;1;3
4462;6,9E-01;4,6E+00;3,3E+00;0,999;0,101;1;3
4463;9,6E-07;8,7E-01;1,4E+00;0,998;0,123;1;3
4464;3,3E+00;9,8E+00;8,6E+00;1,000;0,181;1;3
4465;2,1E-07;3,9E+00;1,1E+00;0,998;0,221;1;3
4466;2,3E-01;4,4E+00;3,3E+00;0,999;0,097;1;3
4467;2,0E-05;7,8E-01;1,0E+00;0,997;0,059;1;3
4468;4,8E+00;1,4E-11;9,6E-13;0,031;1,255;1;3
4469;1,2E-01;1,9E+00;1,8E+00;1,000;0,016;1;3
4470;4,6E-01;9,4E+00;1,1E+01;0,999;0,273;1;3
4471;5,6E-05;4,5E+00;1,2E-02;0,967;0,068;1;3
4472;1,8E+00;5,4E+00;4,6E+00;0,998;0,018;1;3
4473;1,2E-09;1,4E+00;1,9E+00;0,999;0,012;1;3
4474;2,0E+00;8,2E+00;2,8E+00;0,999;0,058;1;3
4475;8,2E-08;9,1E-01;6,9E-01;0,996;0,064;1;3
4476;1,3E-01;1,7E-01;1,7E-01;0,987;0,060;1;3
4477;2,2E-08;4,2E-01;5,0E-01;0,996;0,119;1;3
4478;9,7E-02;8,1E-01;3,8E-07;0,987;0,029;1;3
4479;5,6E-01;3,9E-06;3,9E-06;0,995;0,027;1;3
4480;1,2E-05;7,7E-01;8,1E-01;0,904;0,192;1;3
4481;1,6E-05;1,4E+00;9,0E-04;0,999;0,017;1;3
4482;2,2E-01;1,8E-05;1,8E-05;0,978;0,017;1;3
4483;2,9E-01;4,0E-02;4,0E-02;0,999;0,008;1;3
4484;6,8E-02;1,1E-01;1,1E-01;0,994;0,027;1;3
4485;1,2E-01;2,6E-01;2,9E-01;0,995;0,031;1;3
4486;8,5E+00;2,4E-01;2,1E-08;0,994;0,357;1;1
4487;4,8E+00;8,7E+00;4,6E-07;0,998;0,297;1;1
4488;3,2E+00;4,5E+00;3,7E-10;0,996;0,182;1;1
4489;6,2E+00;1,2E+01;6,9E-07;0,994;0,574;1;1
4490;5,8E+00;2,1E+01;4,0E-10;0,995;0,852;1;1
4491;1,6E+00;1,2E+01;7,9E-10;0,998;0,229;1;1
4492;5,5E-01;1,6E+00;7,1E-14;0,996;0,046;1;1
4493;6,4E-01;7,2E-01;6,1E-13;0,987;0,062;1;1
4494;9,2E-01;2,4E+00;1,6E-11;0,993;0,103;1;1
